value,confidence,frame
105,0.8735271954313748,10003_frame_3.jpg
195,0.9999738463499641,10004_frame_4.jpg
0,0.9475877378644135,10005_frame_5.jpg
206,0.99848000569638,10005_frame_5.jpg
213,0.9999803159285474,10006_frame_6.jpg
220,0.9999971093289124,10007_frame_7.jpg
1,0.9911851494580901,10007_frame_7.jpg
228,0.8453125504068283,10008_frame_8.jpg
1,0.993912452959421,10008_frame_8.jpg
225,0.9999985546643163,10009_frame_9.jpg
8,0.9989138216411817,10010_frame_10.jpg
165,0.9999862349096102,10011_frame_11.jpg
2,0.9999365816634622,10011_frame_11.jpg
0,0.8952097572397157,10011_frame_11.jpg
160,0.9994617350560853,10012_frame_12.jpg
167,0.9999653120208363,10013_frame_13.jpg
12484,0.8746987732167394,10015_frame_15.jpg
190,0.9999913968155315,10015_frame_15.jpg
0,0.953040074803372,10015_frame_15.jpg
199,0.9999633160904321,10016_frame_16.jpg
171,0.9999487251671383,10017_frame_17.jpg
110,0.8483589783636954,10018_frame_18.jpg
486,0.8010574219062967,10018_frame_18.jpg
97,0.9999789394219962,10019_frame_19.jpg
80,0.9549893461985833,10020_frame_20.jpg
26,0.933220969573494,10020_frame_20.jpg
42,0.9999965439601713,10021_frame_21.jpg
88,0.9719877706159549,10021_frame_21.jpg
106,0.999691186301396,10022_frame_22.jpg
131,0.9999942874844068,10023_frame_23.jpg
8,0.8112012807685041,10023_frame_23.jpg
148,0.8037043595556528,10024_frame_24.jpg
1904,0.9607664346694946,10025_frame_25.jpg
161,0.9999814859593156,10025_frame_25.jpg
163,0.9999877490683106,10027_frame_27.jpg
104,0.8225072503057335,10029_frame_29.jpg
114,0.9997010279493387,10029_frame_29.jpg
1664,0.8359258770942688,10030_frame_30.jpg
135,0.9999991052683532,10031_frame_31.jpg
644,0.8532503260025823,10032_frame_32.jpg
122,0.9999799029765554,10033_frame_33.jpg
564,0.9607798357182977,10033_frame_33.jpg
113,0.9999959392956953,10034_frame_34.jpg
119,0.9999741216510661,10035_frame_35.jpg
133,0.9999972469798912,10036_frame_36.jpg
149,0.999965656146822,10037_frame_37.jpg
165,0.9999900203069368,10038_frame_38.jpg
1,0.978154056045387,10038_frame_38.jpg
02,0.99999452091409,10039_frame_39.jpg
175,0.9999974534563641,10039_frame_39.jpg
123,0.9999872672905089,10040_frame_40.jpg
93,0.9999926664562352,10041_frame_41.jpg
644,0.8461204578458122,10042_frame_42.jpg
80,0.9998626040385861,10042_frame_42.jpg
93,0.9999992413568111,10043_frame_43.jpg
2501,0.8041582703590393,10044_frame_44.jpg
116,0.9994602210041172,10044_frame_44.jpg
139,0.9999972469798912,10045_frame_45.jpg
154,0.9968099594116211,10046_frame_46.jpg
192,0.9999974534563641,10049_frame_49.jpg
202,0.9999986923153217,10050_frame_50.jpg
209,0.9999921538953669,10051_frame_51.jpg
141,0.9999823806888501,10053_frame_53.jpg
115,0.9999949757390659,10054_frame_54.jpg
100,0.9999698544851251,10055_frame_55.jpg
26,0.9606752428306847,10055_frame_55.jpg
92,0.9999930036303156,10056_frame_56.jpg
09,0.8692230586898656,10057_frame_57.jpg
00,0.8210909579787475,10057_frame_57.jpg
0,0.9170429611151718,10057_frame_57.jpg
86,0.8466168816122681,10058_frame_58.jpg
56,0.9999908119993876,10059_frame_59.jpg
49,0.9506162563859283,10060_frame_60.jpg
63,0.9943113858327924,10061_frame_61.jpg
96,0.9999607193631541,10063_frame_63.jpg
0,0.9562049994975155,10063_frame_63.jpg
101,0.9999941498334826,10064_frame_64.jpg
2501,0.8713828921318054,10065_frame_65.jpg
124,0.9999825871649118,10065_frame_65.jpg
141,0.999984789576592,10066_frame_66.jpg
155,0.9999993117448777,10067_frame_67.jpg
169,0.9999929798007293,10068_frame_68.jpg
8,0.9742766388879751,10068_frame_68.jpg
180,0.9278137790596336,10069_frame_69.jpg
191,0.9999093573465949,10070_frame_70.jpg
151,0.9999862349096102,10072_frame_72.jpg
110,0.9993020042673854,10073_frame_73.jpg
0,0.8300869729083047,10073_frame_73.jpg
0,0.9996122497759394,10073_frame_73.jpg
100,0.999782789834097,10074_frame_74.jpg
97,0.9999989041821146,10075_frame_75.jpg
0,0.8908687636139554,10076_frame_76.jpg
111,0.9999946316117284,10076_frame_76.jpg
129,0.9749053097594483,10077_frame_77.jpg
8,0.9134392415656158,10077_frame_77.jpg
140,0.987535831535346,10079_frame_79.jpg
95,0.9982290544159506,10080_frame_80.jpg
66,0.99957291055476,10081_frame_81.jpg
564,0.9547531784959182,10081_frame_81.jpg
53,0.9999880303160049,10082_frame_82.jpg
60,0.9952444337973756,10084_frame_84.jpg
8,0.9188994178193752,10084_frame_84.jpg
60,0.9985837383431642,10085_frame_85.jpg
122,0.9995024800300598,10086_frame_86.jpg
2457,0.8054267168045044,10086_frame_86.jpg
057,0.8282302399294741,10087_frame_87.jpg
160,0.999910940314393,10088_frame_88.jpg
250,0.9999972469798912,10089_frame_89.jpg
190,0.961854563234934,10091_frame_91.jpg
206,0.9992558956280866,10092_frame_92.jpg
201,0.9999980040603199,10093_frame_93.jpg
201,0.9999984858388146,10094_frame_94.jpg
1064,0.9973243474960327,10094_frame_94.jpg
